AUD,USD,0.992,9:00
AUD,USD,0.991,9:30
AUD,USD,0.9918,10:00
AUD,USD,0.9918,10:30
AUD,USD,0.9914,11:00
AUD,USD,0.9913,11:30
AUD,USD,0.992,12:00
AUD,SGD,1.0321,9:00
AUD,SGD,1.0322,9:30
AUD,SGD,1.0323,10:00
AUD,SGD,1.0324,10:30
AUD,SGD,1.0325,11:00
AUD,SGD,1.0326,11:30
AUD,SGD,1.0327,12:00
AUD,CNY,5.1067,9:00
AUD,CNY,5.1066,9:30
AUD,CNY,5.1059,10:00
AUD,CNY,5.1043,10:30
AUD,CNY,5.1044,11:00
AUD,CNY,5.1047,11:30
AUD,CNY,5.105,12:00
AUD,EUR,0.6781,9:00
AUD,EUR,0.678,9:30
AUD,EUR,0.6779,10:00
AUD,EUR,0.6778,10:30
AUD,EUR,0.6777,11:00
AUD,EUR,0.6776,11:30
AUD,EUR,0.6775,12:00
CNY,USD,0.151,9:00
CNY,USD,0.1513,9:30
CNY,USD,0.1509,10:00
CNY,USD,0.1511,10:30
CNY,USD,0.151,11:00
CNY,USD,0.1509,11:30
CNY,USD,0.151,12:00
CNY,SGD,0.2156,9:00
CNY,SGD,0.2155,9:30
CNY,SGD,0.2154,10:00
CNY,SGD,0.2153,10:30
CNY,SGD,0.2152,11:00
CNY,SGD,0.2151,11:30
CNY,SGD,0.2154,12:00
CNY,AUD,0.2004,9:00
CNY,AUD,0.2002,9:30
CNY,AUD,0.2003,10:00
CNY,AUD,0.2004,10:30
CNY,AUD,0.2001,11:00
CNY,AUD,0.2002,11:30
CNY,AUD,0.2004,12:00
CNY,EUR,0.1447,9:00
CNY,EUR,0.1442,9:30
CNY,EUR,0.1446,10:00
CNY,EUR,0.1445,10:30
CNY,EUR,0.1447,11:00
CNY,EUR,0.1448,11:30
CNY,EUR,0.1445,12:00
EUR,USD,1.1124,9:00
EUR,USD,1.1123,9:30
EUR,USD,1.1122,10:00
EUR,USD,1.1125,10:30
EUR,USD,1.1124,11:00
EUR,USD,1.1121,11:30
EUR,USD,1.1122,12:00
EUR,SGD,1.4912,9:00
EUR,SGD,1.4908,9:30
EUR,SGD,1.491,10:00
EUR,SGD,1.4903,10:30
EUR,SGD,1.4907,11:00
EUR,SGD,1.4903,11:30
EUR,SGD,1.4904,12:00
EUR,AUD,1.4567,9:00
EUR,AUD,1.4564,9:30
EUR,AUD,1.4563,10:00
EUR,AUD,1.4565,10:30
EUR,AUD,1.4566,11:00
EUR,AUD,1.4563,11:30
EUR,AUD,1.4564,12:00
EUR,CNY,7.3822,9:00
EUR,CNY,7.3812,9:30
EUR,CNY,7.382,10:00
EUR,CNY,7.3824,10:30
EUR,CNY,7.3823,11:00
EUR,CNY,7.3822,11:30
EUR,CNY,7.3824,12:00
SGD,USD,0.7454,9:00
SGD,USD,0.7455,9:30
SGD,USD,0.7453,10:00
SGD,USD,0.7456,10:30
SGD,USD,0.7469,11:00
SGD,USD,0.7468,11:30
SGD,USD,0.747,12:00
SGD,CNY,4.9432,9:00
SGD,CNY,4.9433,9:30
SGD,CNY,4.9335,10:00
SGD,CNY,4.933,10:30
SGD,CNY,4.9331,11:00
SGD,CNY,4.9334,11:30
SGD,CNY,4.9336,12:00
SGD,AUD,0.9712,9:00
SGD,AUD,0.9711,9:30
SGD,AUD,0.9714,10:00
SGD,AUD,0.9716,10:30
SGD,AUD,0.9713,11:00
SGD,AUD,0.9714,11:30
SGD,AUD,0.9715,12:00
SGD,EUR,0.6771,9:00
SGD,EUR,0.6774,9:30
SGD,EUR,0.6773,10:00
SGD,EUR,0.6774,10:30
SGD,EUR,0.6775,11:00
SGD,EUR,0.6776,11:30
SGD,EUR,0.6773,12:00
USD,CNY,6.6689,9:00
USD,CNY,6.6691,9:30
USD,CNY,6.6693,10:00
USD,CNY,6.6689,10:30
USD,CNY,6.6688,11:00
USD,CNY,6.6686,11:30
USD,CNY,6.669,12:00
USD,SGD,1.35,9:00
USD,SGD,1.3501,9:30
USD,SGD,1.3506,10:00
USD,SGD,1.3509,10:30
USD,SGD,1.3507,11:00
USD,SGD,1.3503,11:30
USD,SGD,1.3507,12:00
USD,AUD,1.3144,9:00
USD,AUD,1.3145,9:30
USD,AUD,1.3147,10:00
USD,AUD,1.3146,10:30
USD,AUD,1.3145,11:00
USD,AUD,1.3146,11:30
USD,AUD,1.3148,12:00
USD,EUR,0.9087,9:00
USD,EUR,0.9088,9:30
USD,EUR,0.9085,10:00
USD,EUR,0.9088,10:30
USD,EUR,0.909,11:00
USD,EUR,0.9089,11:30
USD,EUR,0.9086,12:00
